"TIME","GEO","UNIT","LANDUSE","Value","Flag and Footnotes"
"2009","Belgium","Square kilometre","Total area","30.528",""
"2009","Belgium","Square kilometre","Land area - Total","30.328",""
"2009","Bulgaria","Square kilometre","Total area","111.001,9",""
"2009","Bulgaria","Square kilometre","Land area - Total",":",""
"2009","Czechia","Square kilometre","Total area","78.865,1",""
"2009","Czechia","Square kilometre","Land area - Total","77.240,1",""
"2009","Denmark","Square kilometre","Total area","43.098,3",""
"2009","Denmark","Square kilometre","Land area - Total",":",""
"2009","Germany (until 1990 former territory of the FRG)","Square kilometre","Total area","357.108,0",""
"2009","Germany (until 1990 former territory of the FRG)","Square kilometre","Land area - Total",":",""
"2009","Estonia","Square kilometre","Total area","45.227,0",""
"2009","Estonia","Square kilometre","Land area - Total","43.432,0",""
"2009","Ireland","Square kilometre","Total area","69.797,0",""
"2009","Ireland","Square kilometre","Land area - Total","68.394,0",""
"2009","Greece","Square kilometre","Total area","131.957,0",""
"2009","Greece","Square kilometre","Land area - Total","130.820,0",""
"2009","Spain","Square kilometre","Total area","505.990,7",""
"2009","Spain","Square kilometre","Land area - Total","501.756,9",""
"2009","France","Square kilometre","Total area","632.833,6",""
"2009","France","Square kilometre","Land area - Total",":",""
"2009","Croatia","Square kilometre","Total area","56.594,0",""
"2009","Croatia","Square kilometre","Land area - Total",":",""
"2009","Italy","Square kilometre","Total area","301.336,0",""
"2009","Italy","Square kilometre","Land area - Total","295.114,0",""
"2009","Cyprus","Square kilometre","Total area","9.250,0",""
"2009","Cyprus","Square kilometre","Land area - Total","9.214,0",""
"2009","Latvia","Square kilometre","Total area","64.559,0",""
"2009","Latvia","Square kilometre","Land area - Total","62.196,0",""
"2009","Lithuania","Square kilometre","Total area","65.300,0",""
"2009","Lithuania","Square kilometre","Land area - Total","62.675,0",""
"2009","Luxembourg","Square kilometre","Total area","2.586,0",""
"2009","Luxembourg","Square kilometre","Land area - Total","2.586,0",""
"2009","Hungary","Square kilometre","Total area","93.027,4",""
"2009","Hungary","Square kilometre","Land area - Total",":",""
"2009","Malta","Square kilometre","Total area","316,0",""
"2009","Malta","Square kilometre","Land area - Total","316,0",""
"2009","Netherlands","Square kilometre","Total area","41.543,1",""
"2009","Netherlands","Square kilometre","Land area - Total","33.756,2",""
"2009","Austria","Square kilometre","Total area","83.879,0",""
"2009","Austria","Square kilometre","Land area - Total","82.434,8",""
"2009","Poland","Square kilometre","Total area","312.679,0",""
"2009","Poland","Square kilometre","Land area - Total",":",""
"2009","Portugal","Square kilometre","Total area","92.207,4",""
"2009","Portugal","Square kilometre","Land area - Total",":",""
"2009","Romania","Square kilometre","Total area","238.390,7",""
"2009","Romania","Square kilometre","Land area - Total","229.897,4",""
"2009","Slovenia","Square kilometre","Total area","20.273,0",""
"2009","Slovenia","Square kilometre","Land area - Total","20.138,0",""
"2009","Slovakia","Square kilometre","Total area","49.036,9",""
"2009","Slovakia","Square kilometre","Land area - Total","49.036,9",""
"2009","Finland","Square kilometre","Total area","338.424,4",""
"2009","Finland","Square kilometre","Land area - Total","303.898,8",""
"2009","Sweden","Square kilometre","Total area","441.369,5",""
"2009","Sweden","Square kilometre","Land area - Total","410.335,4",""
"2009","United Kingdom","Square kilometre","Total area","248.527,8",""
"2009","United Kingdom","Square kilometre","Land area - Total","242.509,2",""
"2010","Belgium","Square kilometre","Total area","30.528",""
"2010","Belgium","Square kilometre","Land area - Total","30.376",""
"2010","Bulgaria","Square kilometre","Total area","111.001,9",""
"2010","Bulgaria","Square kilometre","Land area - Total","108.991,5",""
"2010","Czechia","Square kilometre","Total area","78.864,9",""
"2010","Czechia","Square kilometre","Land area - Total","77.237,0",""
"2010","Denmark","Square kilometre","Total area","43.098,3",""
"2010","Denmark","Square kilometre","Land area - Total",":",""
"2010","Germany (until 1990 former territory of the FRG)","Square kilometre","Total area","357.123,5",""
"2010","Germany (until 1990 former territory of the FRG)","Square kilometre","Land area - Total",":",""
"2010","Estonia","Square kilometre","Total area","45.227,0",""
"2010","Estonia","Square kilometre","Land area - Total","43.432,0",""
"2010","Ireland","Square kilometre","Total area","69.797,0",""
"2010","Ireland","Square kilometre","Land area - Total","68.394,0",""
"2010","Greece","Square kilometre","Total area","131.957,0",""
"2010","Greece","Square kilometre","Land area - Total","130.820,0",""
"2010","Spain","Square kilometre","Total area","505.990,7",""
"2010","Spain","Square kilometre","Land area - Total","501.756,9",""
"2010","France","Square kilometre","Total area","632.833,6",""
"2010","France","Square kilometre","Land area - Total",":",""
"2010","Croatia","Square kilometre","Total area","56.594,0",""
"2010","Croatia","Square kilometre","Land area - Total",":",""
"2010","Italy","Square kilometre","Total area","301.336,0",""
"2010","Italy","Square kilometre","Land area - Total","295.114,0",""
"2010","Cyprus","Square kilometre","Total area","9.251,0",""
"2010","Cyprus","Square kilometre","Land area - Total","9.214,0",""
"2010","Latvia","Square kilometre","Total area","64.559,0",""
"2010","Latvia","Square kilometre","Land area - Total","62.196,0",""
"2010","Lithuania","Square kilometre","Total area","65.300,0",""
"2010","Lithuania","Square kilometre","Land area - Total","62.675,0",""
"2010","Luxembourg","Square kilometre","Total area","2.586,0",""
"2010","Luxembourg","Square kilometre","Land area - Total","2.586,0",""
"2010","Hungary","Square kilometre","Total area","93.027,4",""
