"","indic_de","geo","time","values"
"1","JAN","AD",2019-01-01,76177
"2","JAN","AL",2019-01-01,2862427
"3","JAN","AM",2019-01-01,2965269
"4","JAN","AT",2019-01-01,8858775
"5","JAN","AZ",2019-01-01,9981457
"6","JAN","BA",2019-01-01,3492018
"7","JAN","BE",2019-01-01,11455519
"8","JAN","BG",2019-01-01,7000039
"9","JAN","BY",2019-01-01,9427348
"10","JAN","CH",2019-01-01,8544527
"11","JAN","CY",2019-01-01,875899
"12","JAN","CZ",2019-01-01,10649800
"13","JAN","DE",2019-01-01,83019213
"14","JAN","DK",2019-01-01,5806081
"15","JAN","EA18",2019-01-01,338729883
"16","JAN","EA19",2019-01-01,341524067
"17","JAN","EE",2019-01-01,1324820
"18","JAN","EL",2019-01-01,10724599
"19","JAN","ES",2019-01-01,46937060
"20","JAN","EU27_2007",2019-01-01,509017310
"21","JAN","EU27_2020",2019-01-01,446446444
"22","JAN","EU28",2019-01-01,513093556
"23","JAN","FI",2019-01-01,5517919
"24","JAN","FR",2019-01-01,67177636
"25","JAN","GE",2019-01-01,3723464
"26","JAN","HR",2019-01-01,4076246
"27","JAN","HU",2019-01-01,9772756
"28","JAN","IE",2019-01-01,4904240
"29","JAN","IS",2019-01-01,356991
"30","JAN","IT",2019-01-01,59816673
"31","JAN","LI",2019-01-01,38378
"32","JAN","LT",2019-01-01,2794184
"33","JAN","LU",2019-01-01,613894
"34","JAN","LV",2019-01-01,1919968
"35","JAN","MC",2019-01-01,38300
"36","JAN","ME",2019-01-01,622182
"37","JAN","MK",2019-01-01,2077132
"38","JAN","MT",2019-01-01,493559
"39","JAN","NL",2019-01-01,17282163
"40","JAN","NO",2019-01-01,5328212
"41","JAN","PL",2019-01-01,37972812
"42","JAN","PT",2019-01-01,10276617
"43","JAN","RO",2019-01-01,19414458
"44","JAN","RS",2019-01-01,6963764
"45","JAN","SE",2019-01-01,10230185
"46","JAN","SI",2019-01-01,2080908
"47","JAN","SK",2019-01-01,5450421
"48","JAN","SM",2019-01-01,34590
"49","JAN","TR",2019-01-01,82003882
"50","JAN","UA",2019-01-01,41983564
"51","JAN","UK",2019-01-01,66647112
"52","JAN","XK",2019-01-01,1795666
